id_link,ID_i,ID_j,city_i,city_j,new_name,b_same
1,city_78,city_14,Washington,"Washington, DC","Washington, DC",1
2,city_63,city_45,Kraków,Krakow,Krakow,1
3,city_86,city_46,São Paulo,S√£o Paulo,São Paulo,1
4,city_93,city_11,Rio De Janeiro,Rio de Janeiro,"Rio de Janeiro",1
5,city_96,city_14,"Washington, Dc","Washington, DC","Washington, DC",1
6,city_99,city_46,Sao Paulo,S√£o Paulo,"São Paulo",1
7,city_96,city_78,"Washington, Dc",Washington,"Washington, DC",1
8,city_99,city_86,Sao Paulo,São Paulo,"São Paulo",1
9,city_100,city_7,New York City,New York,New York,1
10,city_101,city_14,"Washington, D.C.","Washington, DC","Washington, DC",1
11,city_103,city_14,Washington D.C.,"Washington, DC","Washington, DC",1
12,city_101,city_78,"Washington, D.C.",Washington,"Washington, DC",1
13,city_103,city_78,Washington D.C.,Washington,"Washington, DC",1
14,city_101,city_96,"Washington, D.C.","Washington, Dc","Washington, DC",1
15,city_103,city_96,Washington D.C.,"Washington, Dc","Washington, DC",1
16,city_104,city_97,Brasília,Brasilia,Brasilia,1
17,city_103,city_101,Washington D.C.,"Washington, D.C.","Washington, DC",1
18,city_109,city_31,Humlebæk,Humlebaek,"Humlebaek",1
19,city_111,city_73,Valencia,València,"Valencia",1
20,city_122,city_11,Rio,Rio de Janeiro,"Rio de Janeiro",1
21,city_122,city_93,Rio,Rio De Janeiro,"Rio de Janeiro",1
22,city_128,city_73,Valéncia,València,"Valencia",1
23,city_128,city_111,Valéncia,Valencia,"Valencia",1
24,city_166,city_91,St. Louis,St Louis,"St. Louis",1
25,city_150,city_142,"Portland, OR",Portland,"Portland",1
26,city_159,city_157,Colorado Sp.,Colorado Springs,"Colorado Springs",1
27,city_171,city_157,Col. Springs,Colorado Springs,"Colorado Springs",1
28,city_171,city_159,"Col. Springs","Colorado Sp.","Colorado Springs",1
29,city_178,city_89,Zürich,Zurich,"Zurich",1
30,city_190,city_33,Milano,Milan,"Milan",1
31,city_187,city_152,Mantua,Mantova,"Mantova",1
